"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ERCO,"4/11/2026 5 p.m. CDT",57604,58654,57383,-220
ERCO,"4/11/2026 6 p.m. CDT",57554,58765,57284,-270
ERCO,"4/11/2026 7 p.m. CDT",56380,57786,55925,-456
ERCO,"4/11/2026 8 p.m. CDT",55349,55863,54540,-809
ERCO,"4/11/2026 9 p.m. CDT",54990,55043,54193,-796
ERCO,"4/11/2026 10 p.m. CDT",53886,53992,53071,-814
ERCO,"4/11/2026 11 p.m. CDT",51899,52250,51084,-815
ERCO,"4/12/2026 12 a.m. CDT",48325,50095,47510,-815
ERCO,"4/12/2026 1 a.m. CDT",46403,48194,45588,-815
ERCO,"4/12/2026 2 a.m. CDT",45040,46307,44239,-801
ERCO,"4/12/2026 3 a.m. CDT",44637,44975,43824,-813
ERCO,"4/12/2026 4 a.m. CDT",44360,43914,43565,-794
ERCO,"4/12/2026 5 a.m. CDT",44031,43386,43217,-813
ERCO,"4/12/2026 6 a.m. CDT",44143,43174,43407,-736
ERCO,"4/12/2026 7 a.m. CDT",44493,43492,44022,-470
ERCO,"4/12/2026 8 a.m. CDT",45105,43889,44864,-241
ERCO,"4/12/2026 9 a.m. CDT",46692,45878,46467,-225
ERCO,"4/12/2026 10 a.m. CDT",48738,48527,48560,-178
ERCO,"4/12/2026 11 a.m. CDT",50388,50535,50285,-104
ERCO,"4/12/2026 12 p.m. CDT",52040,52036,51963,-77
ERCO,"4/12/2026 1 p.m. CDT",53322,53410,53036,-287
ERCO,"4/12/2026 2 p.m. CDT",54091,54386,54007,-84
ERCO,"4/12/2026 3 p.m. CDT",54554,55233,54311,-242
ERCO,"4/12/2026 4 p.m. CDT",54758,55777,54545,-213
ERCO,"4/12/2026 5 p.m. CDT",55066,56230,54802,-264
ERCO,"4/12/2026 6 p.m. CDT",55257,56657,54714,-543
ERCO,"4/12/2026 7 p.m. CDT",55341,56195,54523,-818
ERCO,"4/12/2026 8 p.m. CDT",55296,55104,54461,-835
ERCO,"4/12/2026 9 p.m. CDT",55960,54785,55445,-514
ERCO,"4/12/2026 10 p.m. CDT",55197,53715,54765,-432
ERCO,"4/12/2026 11 p.m. CDT",52978,51820,52415,-563
ERCO,"4/13/2026 12 a.m. CDT",50316,49336,49825,-491
ERCO,"4/13/2026 1 a.m. CDT",48042,47352,47502,-539
ERCO,"4/13/2026 2 a.m. CDT",46299,45582,45855,-443
ERCO,"4/13/2026 3 a.m. CDT",45239,44593,45012,-227
